zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,flexFieldText,flexFieldType,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,brokerName,timeOnZillow,latLong.latitude,latLong.longitude,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.listing_sub_type.is_bankOwned,info3String,info6String,hdpData.homeInfo.listing_sub_type.is_foreclosure,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,info2String,minBeds,minBaths,minArea,buildingId,isBuilding,canSaveBuilding,unitCount,availabilityDate,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.open_house_info.open_house_showing,hdpData.homeInfo.unit,streetViewURL,streetViewMetadataURL,hdpData.homeInfo.isRentalWithBasePrice,hdpData.homeInfo.listing_sub_type.is_forAuction,hdpData.homeInfo.listing_sub_type.is_newHome,hdpData.homeInfo.newConstructionType,hdpData.homeInfo.videoCount,plid,communityName,builderName,isCdpResult,isComingSoonCommunity
3050921,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/55035aa97593da7d4e0a29d94a53b9af-p_e.jpg,True,/homedetails/4306-Hanging-Moss-Rd-Jackson-MS-39206/3050921_zpid/,FOR_SALE,House for sale,"$65,000",$65K,"4306 Hanging Moss Rd, Jackson, MS 39206",3.0,2.0,1529.0,10 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Sylvan Realty LLC,935523000,32.362514,-90.17956,3050921.0,4306 Hanging Moss Rd,39206,Jackson,MS,32.362514,-90.17956,65000.0,2.0,3.0,1529.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,65000.0,935523000.0,True,False,False,USD,USA,52030.0,0.45,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115145657,ForSale,RecentChange,https://photos.zillowstatic.com/fp/7dacf73f0cb9399fbf5226b30ea54d96-p_e.jpg,True,/homedetails/518-Emma-Rd-Trout-LA-71371/115145657_zpid/,FOR_SALE,Foreclosure,"$137,500",$138K,"518 Emma Rd, Trout, LA 71371",6.0,5.0,8200.0,46 days on Zillow,daysOnZillow,False,False,ForSale,Foreclosure,False,False,False,False,True,False,False,,False,False,"BARBRA DIFULCO REAL ESTATE, INC.",4044458000,31.642282,-92.16542,115145657.0,518 Emma Rd,71371,Trout,LA,31.642282,-92.16542,137500.0,5.0,6.0,8200.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,False,False,FOR_SALE,137500.0,4044458000.0,True,False,False,USD,USA,3500.0,1.16,acres,False,126600.0,2350.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90830262,ForSale,Non Owner Occupied,https://photos.zillowstatic.com/fp/0ed106d4aa3353b4160325b181a5759b-p_e.jpg,True,/homedetails/160-Baffle-Ln-Bismarck-AR-71929/90830262_zpid/,FOR_SALE,Foreclosure,"$75,000",$75K,"160 Baffle Ln, Bismarck, AR 71929",3.0,2.0,1142.0,10 days on Zillow,daysOnZillow,False,False,ForSale,Foreclosure,False,False,False,False,True,False,False,,False,False,"Trademark Real Estate, Inc.",902549000,34.27178,-93.131775,90830262.0,160 Baffle Ln,71929,Bismarck,AR,34.27178,-93.131775,75000.0,2.0,3.0,1142.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,False,False,FOR_SALE,75000.0,902549000.0,True,False,False,USD,USA,52600.0,11.41,acres,False,,,,https://photos.zillowstatic.com/fp/19e7bcbe73b7e6c8d48d299d96f774fd-zillow_web_48_23.jpg,Tom Shelton,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112254686,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/c479ed27d77b4159f0c920d625a4e34e-p_e.jpg,True,/homedetails/820-E-Washington-St-Brookhaven-MS-39601/112254686_zpid/,FOR_SALE,House for sale,"$294,900",$295K,"820 E Washington St, Brookhaven, MS 39601",5.0,4.0,4576.0,114 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,"Arx Point Realty, LLC",9918969000,31.566996,-90.43052,112254686.0,820 E Washington St,39601,Brookhaven,MS,31.566996,-90.43052,294900.0,4.0,5.0,4576.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,294900.0,9918969000.0,True,False,False,USD,USA,296480.0,8.46,acres,False,279200.0,2465.0,,,,,1716188400000.0,"$25,000 (May 20)",-25000.0,,,,,,,,,,,,,,,,,,,,,,,,,
114937551,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/261665c2471fa09876c489a14a8b064c-p_e.jpg,True,/homedetails/390-County-Road-277-Water-Valley-MS-38965/114937551_zpid/,FOR_SALE,House for sale,"$220,000",$220K,"390 County Road 277, Water Valley, MS 38965",4.0,3.0,3020.0,178 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,RE/MAX Legacy (BOF),15428905000,34.146835,-89.62372,114937551.0,390 County Road 277,38965,Water Valley,MS,34.146835,-89.62372,220000.0,3.0,4.0,3020.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,220000.0,15428905000.0,True,False,False,USD,USA,198891.0,7.1,acres,False,,,,,,,1710745200000.0,"$145,000 (Mar 18)",-145000.0,Listing provided by NCMBR,,,,,,,,,,,,,,,,,,,,,,,,
92479852,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/7b05a9ddc203deb119495b72aabe20a3-p_e.jpg,True,/homedetails/129-Sonoma-Cir-West-Monroe-LA-71291/92479852_zpid/,FOR_SALE,House for sale,"$249,000",$249K,"129 Sonoma Cir, West Monroe, LA 71291",3.0,2.0,2346.0,2 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Vanguard Realty,213093000,32.54573,-92.2003,92479852.0,129 Sonoma Cir,71291,West Monroe,LA,32.54573,-92.2003,249000.0,2.0,3.0,2346.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,249000.0,213093000.0,True,False,False,USD,USA,160457.0,0.43,acres,False,,2199.0,,https://photos.zillowstatic.com/fp/ea56e3a3ebadb9d297400bfebd73069c-zillow_web_48_23.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89792628,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/7de7f54c0505272bb64f1fd1ca178d7f-p_e.jpg,True,/homedetails/107-Bristol-Way-Madison-MS-39110/89792628_zpid/,FOR_SALE,House for sale,"$559,900",$560K,"107 Bristol Way, Madison, MS 39110",4.0,3.0,2595.0,2 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,"Polles Properties, LLC",245756000,32.51964,-90.1758,89792628.0,107 Bristol Way,39110,Madison,MS,32.51964,-90.1758,559900.0,3.0,4.0,2595.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,559900.0,245756000.0,True,False,False,USD,USA,341120.0,0.25,acres,False,557500.0,4165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87873822,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/7ac02eb9b39c7a327619e30f5812e053-p_e.jpg,True,/homedetails/1048-Harmony-Rd-Crystal-Springs-MS-39059/87873822_zpid/,FOR_SALE,House for sale,"$195,000",$195K,"1048 Harmony Rd, Crystal Springs, MS 39059",3.0,2.0,1943.0,2 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,"Cline Realty, LLC",247887000,31.977064,-90.33661,87873822.0,1048 Harmony Rd,39059,Crystal Springs,MS,31.977064,-90.33661,195000.0,2.0,3.0,1943.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,195000.0,247887000.0,True,False,False,USD,USA,107390.0,3.0,acres,False,192600.0,799.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231999596,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/f4bd8f8acf91ab46c0472c0bea80418c-p_e.jpg,True,/homedetails/3554-Highway-67-S-Arkadelphia-AR-71923/231999596_zpid/,FOR_SALE,House for sale,"$350,000",$350K,"3554 Highway 67 S, Arkadelphia, AR 71923",2.0,2.0,1150.0,2 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Crye*Leike Pro Elite Realty,256622000,34.03187,-93.10443,231999596.0,3554 Highway 67 S,71923,Arkadelphia,AR,34.03187,-93.10443,350000.0,2.0,2.0,1150.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,350000.0,256622000.0,True,False,False,USD,USA,3600.0,45.0,acres,False,343200.0,1184.0,,https://photos.zillowstatic.com/fp/19e7bcbe73b7e6c8d48d299d96f774fd-zillow_web_48_23.jpg,Falicia Samuels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3051429,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/5e21e1804018ac6d1a3a77ceb906b75b-p_e.jpg,True,/homedetails/411-Wilshire-Ave-Jackson-MS-39206/3051429_zpid/,FOR_SALE,House for sale,"$26,250",$26K,"411 Wilshire Ave, Jackson, MS 39206",3.0,1.0,1082.0,8 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Epique,749922000,32.3512,-90.18352,3051429.0,411 Wilshire Ave,39206,Jackson,MS,32.3512,-90.18352,26250.0,1.0,3.0,1082.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,26250.0,749922000.0,True,False,False,USD,USA,35900.0,0.25,acres,False,,999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
