zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,flexFieldText,flexFieldType,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,info3String,brokerName,timeOnZillow,latLong.latitude,latLong.longitude,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.priceReduction,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.priceChange,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,hdpData.homeInfo.zestimate,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.open_house_info.open_house_showing,minBeds,minBaths,minArea,buildingId,isBuilding,canSaveBuilding,unitCount,availabilityDate,hdpData.homeInfo.unit,info2String,info6String,lotId,hdpData.homeInfo.videoCount,hdpData.homeInfo.listing_sub_type.is_newHome,hdpData.homeInfo.newConstructionType,plid,communityName,builderName,isCdpResult,isComingSoonCommunity,lotAreaString
338592565,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/4df1e6a2b6220542703e2d50fc463abc-p_e.jpg,True,/homedetails/5367-S-Cyan-Ln-Saint-George-UT-84790/338592565_zpid/,FOR_SALE,House for sale,"$249,000",$249K,"5367 S Cyan Ln, Saint George, UT 84790",8.0,9.0,5224.0,68 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/845c46a1282502786fdc2ec484a9064f-zillow_web_48_23.jpg,International Commercial Properties LLC,5853893000,37.016476,-113.6008,338592565.0,5367 S Cyan Ln,84790,Saint George,UT,37.016476,-113.6008,249000.0,1715756400000.0,9.0,8.0,5224.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,5414.0,True,"$9,000 (May 15)",False,False,FOR_SALE,249000.0,-9000.0,5853893000.0,True,False,False,USD,USA,335000.0,7405.2,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,
11995733,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/058ece2ad3bf0341d69e53679c43f707-p_e.jpg,True,/homedetails/222-N-Polk-Ave-Ogden-UT-84404/11995733_zpid/,FOR_SALE,House for sale,"$548,000",$548K,"222 N Polk Ave, Ogden, UT 84404",4.0,3.0,2275.0,3 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/845c46a1282502786fdc2ec484a9064f-zillow_web_48_23.jpg,Ridgeline Realty,367024000,41.2637,-111.945335,11995733.0,222 N Polk Ave,84404,Ogden,UT,41.2637,-111.945335,548000.0,,3.0,4.0,2275.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,2509.0,True,,False,False,FOR_SALE,548000.0,,367024000.0,True,False,False,USD,USA,419000.0,0.37,acres,False,553900.0,,,,,,,,,,,,,,,,,,,,,,,,
229640428,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/c78ac2b5dd98ae9f3a0a3627b50633a7-p_e.jpg,True,/homedetails/661-N-Aspen-Dr-Brian-Head-UT-84719/229640428_zpid/,FOR_SALE,House for sale,"$695,000",$695K,"661 N Aspen Dr, Brian Head, UT 84719",3.0,3.0,2198.0,Showcase,showcase,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,True,,False,False,,J&E Property Management and Sa,342560000,37.710697,-112.85327,229640428.0,661 N Aspen Dr,84719,Brian Head,UT,37.710697,-112.85327,695000.0,1716447600000.0,3.0,3.0,2198.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,2500.0,True,"$29,900 (May 23)",False,False,FOR_SALE,695000.0,-29900.0,342560000.0,True,False,False,USD,USA,559688.0,0.47000000000000003,acres,True,691300.0,,,,,,,,,,,,,,,,,,,,,,,,
12739758,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/363a3a24281e6fe0965922c4db8e4ecb-p_e.jpg,True,/homedetails/731-W-1300-S-Salt-Lake-City-UT-84104/12739758_zpid/,FOR_SALE,House for sale,"$269,900",$270K,"731 W 1300 S, Salt Lake City, UT 84104",2.0,1.0,1000.0,2 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/845c46a1282502786fdc2ec484a9064f-zillow_web_48_23.jpg,Dimension Realty Services,280624000,40.74123,-111.91202,12739758.0,731 W 1300 S,84104,Salt Lake City,UT,40.74123,-111.91202,269900.0,,1.0,2.0,1000.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,1934.0,True,,False,False,FOR_SALE,269900.0,,280624000.0,True,False,False,USD,USA,167500.0,0.29,acres,False,275600.0,,,,,,,,,,,,,,,,,,,,,,,,
2055722212,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/5a1c61e2510fe6bb7f9f5167e156d0e5-p_e.jpg,True,/homedetails/289-S-100th-St-W-Lehi-UT-84043/2055722212_zpid/,FOR_SALE,House for sale,"$649,000",$649K,"289 S 100th St W, Lehi, UT 84043",4.0,3.0,2750.0,4 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/845c46a1282502786fdc2ec484a9064f-zillow_web_48_23.jpg,KW Utah Realtors Keller Williams,453217000,40.38452,-111.8503,2055722212.0,289 S 100th St W,84043,Lehi,UT,40.38452,-111.8503,649000.0,,3.0,4.0,2750.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,1599.0,True,,False,False,FOR_SALE,649000.0,,453217000.0,True,False,False,USD,USA,,7405.2,sqft,False,658700.0,,,,,,,,,,,,,,,,,,,,,,,,
2072061896,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/9a0210c53db308a9432af8c596407faa-p_e.jpg,True,/homedetails/8693-N-Gorgoza-Dr-Park-City-UT-84098/2072061896_zpid/,FOR_SALE,House for sale,"$1,445,000",$1.45M,"8693 N Gorgoza Dr, Park City, UT 84098",3.0,3.0,3047.0,Showcase,showcase,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,True,,False,False,https://photos.zillowstatic.com/fp/353f9650d9c604248c2f43c75968453d-zillow_web_48_23.jpg,"eXp Realty, LLC  (Park City)",3514215000,40.75905,-111.59639,2072061896.0,8693 N Gorgoza Dr,84098,Park City,UT,40.75905,-111.59639,1445000.0,,3.0,3.0,3047.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,True,,False,False,FOR_SALE,1445000.0,,3514215000.0,True,False,False,USD,USA,,0.45,acres,True,,,,,,,,,,,,,,,,,,,,,,,,,
11919334,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/0b876fc3fc427ba174011d0a43150cd3-p_e.jpg,True,/homedetails/480-S-1160-W-Orem-UT-84058/11919334_zpid/,FOR_SALE,House for sale,"$349,900",$350K,"480 S 1160 W, Orem, UT 84058",6.0,2.0,2572.0,3 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/845c46a1282502786fdc2ec484a9064f-zillow_web_48_23.jpg,KW South Valley Keller Williams,367363000,40.288116,-111.72355,11919334.0,480 S 1160 W,84058,Orem,UT,40.288116,-111.72355,349900.0,,2.0,6.0,2572.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,1795.0,True,,False,False,FOR_SALE,349900.0,,367363000.0,True,False,False,USD,USA,319000.0,8276.4,sqft,False,355700.0,,,,,,,,,,,,,,,,,,,,,,,,
351105949,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/1808bdea68dae7f896e526b2a2a552ca-p_e.jpg,True,/homedetails/1008-W-230th-St-N-Orem-UT-84057/351105949_zpid/,FOR_SALE,House for sale,"$409,900",$410K,"1008 W 230th St N, Orem, UT 84057",4.0,2.0,2244.0,4 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/845c46a1282502786fdc2ec484a9064f-zillow_web_48_23.jpg,Aspen Ridge Real Estate LLC,453384000,40.301582,-111.719406,351105949.0,1008 W 230th St N,84057,Orem,UT,40.301582,-111.719406,409900.0,,2.0,4.0,2244.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,True,,False,False,FOR_SALE,409900.0,,453384000.0,True,False,False,USD,USA,,9583.2,sqft,False,416300.0,,,,,,,,,,,,,,,,,,,,,,,,
68897196,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/93cdf18d97dd4804c7377f4cf2d36883-p_e.jpg,True,/homedetails/3444-S-Desert-Hills-Dr-Saint-George-UT-84790/68897196_zpid/,FOR_SALE,House for sale,"$725,000",$725K,"3444 S Desert Hills Dr, Saint George, UT 84790",5.0,3.0,2545.0,8 days on Zillow,daysOnZillow,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,,KW SG Keller Williams Realty,747172000,37.0493,-113.57162,68897196.0,3444 S Desert Hills Dr,84790,Saint George,UT,37.0493,-113.57162,725000.0,,3.0,5.0,2545.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,2695.0,True,,False,False,FOR_SALE,725000.0,,747172000.0,True,False,False,USD,USA,660700.0,0.27,acres,False,718100.0,,,,,,,,,,,,,,,,,,,,,,,,
113340922,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/f1b9e8b4161723a78b6a7b6a36578227-p_e.jpg,True,/homedetails/4865-N-Horseshoe-Dr-Enoch-UT-84721/113340922_zpid/,FOR_SALE,House for sale,"$945,000",$945K,"4865 N Horseshoe Dr, Enoch, UT 84721",5.0,3.0,3644.0,2 hours ago,timeOnInfo,False,False,ForSale,For Sale (Broker),False,False,False,False,False,False,False,,False,False,,,7870000,37.766026,-113.0231,113340922.0,4865 N Horseshoe Dr,84721,Enoch,UT,37.766026,-113.0231,945000.0,1712646000000.0,3.0,5.0,3644.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,3834.0,True,"$15,000 (Apr 9)",False,False,FOR_SALE,945000.0,-15000.0,7870000.0,True,False,False,USD,USA,589841.0,1.75,acres,False,945300.0,,,,,,,,,,,,,,,,,,,,,,,,
