zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,info2String,info6String,brokerName,timeOnZillow,latLong.latitude,latLong.longitude,variableData.type,variableData.text,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.open_house_info.open_house_showing,info3String,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.listing_sub_type.is_comingSoon,hdpData.homeInfo.priceChange,hdpData.homeInfo.unit,hdpData.homeInfo.isRentalWithBasePrice,hdpData.homeInfo.listing_sub_type.is_forAuction,hdpData.homeInfo.videoCount,hdpData.homeInfo.priceReduction,builderName,hdpData.homeInfo.listing_sub_type.is_newHome,hdpData.homeInfo.newConstructionType,variableData.data.isRead,variableData.data.isFresh,hdpData.homeInfo.listing_sub_type.is_foreclosure,communityName,hdpData.homeInfo.providerListingID,minBeds,minBaths,minArea,lotId,buildingName,buildingId,isBuilding,canSaveBuilding,unitCount,hdpData.homeInfo.listing_sub_type.is_bankOwned,plid,isCdpResult,isComingSoonCommunity
106993596,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/d64eae977ba09e72a825dcc8a8116369-p_e.jpg,True,/homedetails/130-Edisto-Ct-Raeford-NC-28376/106993596_zpid/,FOR_SALE,House for sale,"$272,000",$272K,"130 Edisto Ct, Raeford, NC 28376",3.0,3.0,1593.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,True,,False,False,Listing provided by LPRMLS,MARTINA ERDMEIER,"FATHOM REALTY NC, LLC FAY.",357314000.0,34.979866,-79.19113,SHOWCASE,Showcase,106993596.0,130 Edisto Ct,28376,Raeford,NC,34.979866,-79.19113,272000.0,3.0,3.0,1593.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,272000.0,357314000.0,True,False,False,USD,USA,173330.0,0.29,acres,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2080490464,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/00d45267bdac5e103a5fe0e1ddc02569-p_e.jpg,True,/homedetails/113-Living-Waters-Boulevard-Lexington-SC-29072/2080490464_zpid/,FOR_SALE,House for sale,"$330,000",$330K,"113 Living Waters Boulevard, Lexington, SC 29072",5.0,3.0,2225.0,False,False,ForSale,For Sale (Broker),False,True,False,False,False,False,True,,False,False,,,,355905000.0,33.8393,-81.23358,SHOWCASE,Showcase,2080490464.0,113 Living Waters Boulevard,29072,Lexington,SC,33.8393,-81.23358,330000.0,3.0,5.0,2225.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,330000.0,355905000.0,True,False,False,USD,USA,,0.7,acres,True,328800.0,1994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90231465,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/be75b13fe802315287f307eb61c6b26f-p_e.jpg,True,/homedetails/1630-Barnwell-Dr-Sumter-SC-29154/90231465_zpid/,FOR_SALE,House for sale,"$755,000",$755K,"1630 Barnwell Dr, Sumter, SC 29154",5.0,6.0,4756.0,False,False,ForSale,For Sale (Broker),False,True,False,False,False,False,True,,False,False,,,,261733000.0,33.965816,-80.526115,SHOWCASE,Showcase,90231465.0,1630 Barnwell Dr,29154,Sumter,SC,33.965816,-80.526115,755000.0,6.0,5.0,4756.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,755000.0,261733000.0,True,False,False,USD,USA,509625.0,5.5200000000000005,acres,True,,4665.0,True,Sun. 1-4pm,"[{'open_house_start': 1717358400000, 'open_house_end': 1717369200000}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6529950,ComingSoon,Coming Soon,https://photos.zillowstatic.com/fp/3e66ee30d32212aea11f323936b96d55-p_e.jpg,True,/homedetails/101-Barons-Glenn-Way-Cary-NC-27513/6529950_zpid/,FOR_SALE,Coming soon,"$675,000",$675K,"101 Barons Glenn Way, Cary, NC 27513",4.0,3.0,2460.0,False,False,ComingSoon,Coming Soon,False,True,False,False,False,False,True,,False,False,,,,84062000.0,35.775753,-78.83645,SHOWCASE,Showcase,6529950.0,101 Barons Glenn Way,27513,Cary,NC,35.775753,-78.83645,675000.0,3.0,4.0,2460.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,False,False,FOR_SALE,675000.0,84062000.0,True,False,False,USD,USA,362261.0,0.42000000000000004,acres,True,662900.0,2699.0,,,,https://photos.zillowstatic.com/fp/e33cf6e51b095b0998469a1bcc597b6b-zillow_web_48_23.jpg,1386921600000.0,True,375100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
50105341,ComingSoon,Coming Soon,https://photos.zillowstatic.com/fp/365336cdeca79603a5cb876753726fc5-p_e.jpg,True,/homedetails/8704-Springhouse-Ln-Raleigh-NC-27617/50105341_zpid/,FOR_SALE,Coming soon,"$515,000",$515K,"8704 Springhouse Ln, Raleigh, NC 27617",3.0,3.0,1949.0,False,False,ComingSoon,Coming Soon,False,True,False,False,False,False,True,,False,False,,,,68854000.0,35.90104,-78.73642,SHOWCASE,Showcase,50105341.0,8704 Springhouse Ln,27617,Raleigh,NC,35.90104,-78.73642,515000.0,3.0,3.0,1949.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,False,False,FOR_SALE,515000.0,68854000.0,True,False,False,USD,USA,337453.0,0.32999999999999996,acres,True,546200.0,2298.0,,,,https://photos.zillowstatic.com/fp/e33cf6e51b095b0998469a1bcc597b6b-zillow_web_48_23.jpg,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
11675183,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/d186dd1b557565f4539950a69e6c364c-p_e.jpg,True,/homedetails/151-Cedar-Knoll-Ct-Blythewood-SC-29016/11675183_zpid/,FOR_SALE,House for sale,"$1,199,000",$1.20M,"151 Cedar Knoll Ct, Blythewood, SC 29016",4.0,5.0,6785.0,False,False,ForSale,For Sale (Broker),False,True,False,False,False,False,True,,False,False,,,,175680000.0,34.167404,-81.08448,SHOWCASE,Showcase,11675183.0,151 Cedar Knoll Ct,29016,Blythewood,SC,34.167404,-81.08448,1199000.0,5.0,4.0,6785.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,1199000.0,175680000.0,True,False,False,USD,USA,341500.0,26.45,acres,True,1193800.0,10263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6537666,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/55ec64086d81cd631e26a14bc4d7da4c-p_e.jpg,True,/homedetails/1425-Opal-Ct-Raleigh-NC-27615/6537666_zpid/,FOR_SALE,House for sale,"$479,000",$479K,"1425 Opal Ct, Raleigh, NC 27615",4.0,3.0,1977.0,False,False,ForSale,For Sale (Broker),False,True,False,False,False,False,True,,False,False,,,,183583000.0,35.899235,-78.66406,SHOWCASE,Showcase,6537666.0,1425 Opal Ct,27615,Raleigh,NC,35.899235,-78.66406,479000.0,3.0,4.0,1977.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,479000.0,183583000.0,True,False,False,USD,USA,310505.0,,,True,501900.0,2350.0,True,Sun. 12-2pm,"[{'open_house_start': 1717354800000, 'open_house_end': 1717362000000}]",https://photos.zillowstatic.com/fp/e33cf6e51b095b0998469a1bcc597b6b-zillow_web_48_23.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11731430,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/7cbb60eebf442e9197a70a4f3586347f-p_e.jpg,True,/homedetails/112-Whitehurst-Way-Columbia-SC-29229/11731430_zpid/,FOR_SALE,House for sale,"$270,000",$270K,"112 Whitehurst Way, Columbia, SC 29229",4.0,3.0,2074.0,False,False,ForSale,For Sale (Broker),False,True,False,False,False,False,False,,False,False,,,,426623000.0,34.13869,-80.92718,3D_HOME,3D Tour,11731430.0,112 Whitehurst Way,29229,Columbia,SC,34.13869,-80.92718,270000.0,3.0,4.0,2074.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,270000.0,426623000.0,True,False,False,USD,USA,155000.0,0.3,acres,False,273300.0,1895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11222701,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/4ef1f6be473742d0e26fd40cf0411c1d-p_e.jpg,True,/homedetails/2530-Tiffany-Trl-Cayce-SC-29033/11222701_zpid/,FOR_SALE,House for sale,"$265,000",$265K,"2530 Tiffany Trl, Cayce, SC 29033",4.0,2.0,1905.0,False,False,ForSale,For Sale (Broker),False,True,False,False,False,False,True,,False,False,,,,398039000.0,33.957954,-81.05609,SHOWCASE,Showcase,11222701.0,2530 Tiffany Trl,29033,Cayce,SC,33.957954,-81.05609,265000.0,2.0,4.0,1905.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,265000.0,398039000.0,True,False,False,USD,USA,88519.0,10454.4,sqft,True,264800.0,1800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6560931,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/bc24c4543e5b77f180ca82051d7d0070-p_e.jpg,True,/homedetails/5501-Phillipsburg-Dr-Raleigh-NC-27613/6560931_zpid/,FOR_SALE,House for sale,"$569,000",$569K,"5501 Phillipsburg Dr, Raleigh, NC 27613",3.0,3.0,2641.0,False,False,ForSale,For Sale (Broker),False,True,False,False,False,False,True,,False,False,,,,357693000.0,35.89794,-78.72885,SHOWCASE,Showcase,6560931.0,5501 Phillipsburg Dr,27613,Raleigh,NC,35.89794,-78.72885,569000.0,3.0,3.0,2641.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,True,False,False,FOR_SALE,569000.0,357693000.0,True,False,False,USD,USA,375390.0,6969.6,sqft,True,592700.0,2571.0,,,,https://photos.zillowstatic.com/fp/e33cf6e51b095b0998469a1bcc597b6b-zillow_web_48_23.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
