zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,info2String,brokerName,timeOnZillow,latLong.latitude,latLong.longitude,variableData.type,variableData.text,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,hdpData.homeInfo.taxAssessedValue,info3String,hdpData.homeInfo.listing_sub_type.is_comingSoon,hdpData.homeInfo.unit,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.open_house_info.open_house_showing,hdpData.homeInfo.listing_sub_type.is_bankOwned,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceChange,availabilityDate,variableData.data.isRead,variableData.data.isFresh,hdpData.homeInfo.priceReduction,hdpData.homeInfo.videoCount,hdpData.homeInfo.isRentalWithBasePrice,hdpData.homeInfo.listing_sub_type.is_forAuction,hdpData.homeInfo.listing_sub_type.is_newHome,hdpData.homeInfo.newConstructionType,minBeds,minBaths,minArea,buildingId,isBuilding,canSaveBuilding,unitCount
2132953043,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/3cdc8b0dc25f680f1b123a9227a9fbee-p_e.jpg,True,/homedetails/18134-Shiloh-Church-Rd-Beaverdam-VA-23015/2132953043_zpid/,FOR_SALE,House for sale,"$1,190,000",$1.19M,"18134 Shiloh Church Rd, Beaverdam, VA 23015",5.0,5.0,5700.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,True,,False,False,Listing provided by CVRMLS,Real Broker LLC,459902000,37.90159,-77.701645,SHOWCASE,Showcase,2132953043.0,18134 Shiloh Church Rd,23015,Beaverdam,VA,37.90159,-77.701645,1190000.0,5.0,5.0,5700.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,1203300.0,5351.0,True,False,False,FOR_SALE,1190000.0,459902000.0,True,False,False,USD,USA,27.958,acres,True,,,,,,,,,,,,,,,,,,,,,,,,,,
108012650,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/07e5a7d9e3e30436c070fe9ebd2ea626-p_e.jpg,True,/homedetails/3319-Pineacre-Dr-Powhatan-VA-23139/108012650_zpid/,FOR_SALE,House for sale,"$575,000",$575K,"3319 Pineacre Dr, Powhatan, VA 23139",4.0,3.0,2774.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,True,,False,False,Listing provided by CVRMLS,Real Broker LLC,279644000,37.558926,-77.870605,SHOWCASE,Showcase,108012650.0,3319 Pineacre Dr,23139,Powhatan,VA,37.558926,-77.870605,575000.0,3.0,4.0,2774.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,589000.0,3688.0,True,False,False,FOR_SALE,575000.0,279644000.0,True,False,False,USD,USA,9.905,acres,True,397600.0,,,,,,,,,,,,,,,,,,,,,,,,,
36890280,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/cec4e5c12542bbe031a417973ff8fe45-p_e.jpg,True,/homedetails/4021-Bunker-Ct-Mount-Airy-MD-21771/36890280_zpid/,FOR_SALE,House for sale,"$774,900",$775K,"4021 Bunker Ct, Mount Airy, MD 21771",4.0,4.0,3846.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,True,,False,False,,Keller Williams Realty Centre,317956000,39.34154,-77.20293,SHOWCASE,Showcase,36890280.0,4021 Bunker Ct,21771,Mount Airy,MD,39.34154,-77.20293,774900.0,4.0,4.0,3846.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,793800.0,4327.0,True,False,False,FOR_SALE,774900.0,317956000.0,True,False,False,USD,USA,0.35635904499540866,acres,True,634300.0,https://photos.zillowstatic.com/fp/3c0b241c63af930483095615f244c283-zillow_web_48_23.jpg,,,,,,,,,,,,,,,,,,,,,,,,
12338053,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/779285474ccdb30a852827b04d46888c-p_e.jpg,True,/homedetails/1311-Foster-Rd-Richmond-VA-23226/12338053_zpid/,FOR_SALE,House for sale,"$399,950",$400K,"1311 Foster Rd, Richmond, VA 23226",4.0,2.0,1440.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,Listing provided by CVRMLS,Action Real Estate,352921000,37.597755,-77.53507,3D_HOME,3D Tour,12338053.0,1311 Foster Rd,23226,Richmond,VA,37.597755,-77.53507,399950.0,2.0,4.0,1440.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,420900.0,2250.0,True,False,False,FOR_SALE,399950.0,352921000.0,True,False,False,USD,USA,10737.54,sqft,False,312800.0,,,,,,,,,,,,,,,,,,,,,,,,,
12500116,ComingSoon,Coming Soon,https://photos.zillowstatic.com/fp/5ba7ad576f6938cba3b7bbe60a9ba974-p_e.jpg,True,/homedetails/1521-Colonial-Dr-APT-201-Woodbridge-VA-22192/12500116_zpid/,FOR_SALE,Coming soon,"$249,900",$250K,"1521 Colonial Dr APT 201, Woodbridge, VA 22192",2.0,2.0,939.0,False,False,ComingSoon,Coming Soon,False,True,False,False,True,False,True,,False,False,,"Pearson Smith Realty, LLC",145156000,38.67793,-77.26093,SHOWCASE,Showcase,12500116.0,1521 Colonial Dr APT 201,22192,Woodbridge,VA,38.67793,-77.26093,249900.0,2.0,2.0,939.0,CONDO,FOR_SALE,-1.0,False,False,254800.0,1914.0,,False,False,FOR_SALE,249900.0,145156000.0,True,False,False,USD,USA,,,True,213200.0,https://photos.zillowstatic.com/fp/3c0b241c63af930483095615f244c283-zillow_web_48_23.jpg,True,Apt 201,,,,,,,,,,,,,,,,,,,,,,
37166434,ComingSoon,Coming Soon,https://photos.zillowstatic.com/fp/52e5fed579d58496cfc6fe651a3c66da-p_e.jpg,True,/homedetails/6699-Macarthur-Blvd-Bethesda-MD-20816/37166434_zpid/,FOR_SALE,Coming soon,"$23,500,000",$23.5M,"6699 Macarthur Blvd, Bethesda, MD 20816",6.0,11.0,11522.0,False,False,ComingSoon,Coming Soon,False,False,False,False,True,False,False,,False,False,,TTR Sotheby's International Realty,922756000,38.95212,-77.12587,,,37166434.0,6699 Macarthur Blvd,20816,Bethesda,MD,38.95212,-77.12587,23500000.0,11.0,6.0,11522.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,,False,False,FOR_SALE,23500000.0,922756000.0,True,False,False,USD,USA,1.9262,acres,False,6916267.0,https://photos.zillowstatic.com/fp/3c0b241c63af930483095615f244c283-zillow_web_48_23.jpg,True,,,,,,,,,,,,,,,,,,,,,,,
75334520,ComingSoon,Coming Soon,https://photos.zillowstatic.com/fp/4263f12d839ae86415c744e80c9b3517-p_e.jpg,True,/homedetails/227-White-Hall-Rd-Winchester-VA-22603/75334520_zpid/,FOR_SALE,Coming soon,"$535,000",$535K,"227 White Hall Rd, Winchester, VA 22603",4.0,3.0,1904.0,False,False,ComingSoon,Coming Soon,False,False,False,False,True,False,False,,False,False,,"Long & Foster Real Estate, Inc.",404356000,39.29191,-78.14338,,,75334520.0,227 White Hall Rd,22603,Winchester,VA,39.29191,-78.14338,535000.0,3.0,4.0,1904.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,530900.0,2330.0,,False,False,FOR_SALE,535000.0,404356000.0,True,False,False,USD,USA,5.01,acres,False,384700.0,https://photos.zillowstatic.com/fp/3c0b241c63af930483095615f244c283-zillow_web_48_23.jpg,True,,,,,,,,,,,,,,,,,,,,,,,
12524202,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/0e06eb03fea5d8f7ad89a00d887ae2c0-p_e.jpg,True,/homedetails/1404-Winchell-St-Richmond-VA-23231/12524202_zpid/,FOR_SALE,House for sale,"$265,000",$265K,"1404 Winchell St, Richmond, VA 23231",2.0,1.0,1029.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Listing provided by CVRMLS,The Steele Group,601416000,37.51166,-77.39873,,,12524202.0,1404 Winchell St,23231,Richmond,VA,37.51166,-77.39873,265000.0,1.0,2.0,1029.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,276800.0,1400.0,True,False,False,FOR_SALE,265000.0,601416000.0,True,False,False,USD,USA,10798.524,sqft,False,156000.0,,,,,,,,,,,,,,,,,,,,,,,,,
12142186,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/35b0df16b237f25c1e325d52cd28b6f7-p_e.jpg,True,/homedetails/12300-Little-Pond-Ln-Midlothian-VA-23113/12142186_zpid/,FOR_SALE,House for sale,"$299,900",$300K,"12300 Little Pond Ln, Midlothian, VA 23113",3.0,2.0,1575.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Listing provided by CVRMLS,Shaheen Ruth Martin & Fonville,451132000,37.511562,-77.62828,,,12142186.0,12300 Little Pond Ln,23113,Midlothian,VA,37.511562,-77.62828,299900.0,2.0,3.0,1575.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,318500.0,2199.0,True,False,False,FOR_SALE,299900.0,451132000.0,True,False,False,USD,USA,0.42600000000000005,acres,False,263600.0,,,,,,,,,,,,,,,,,,,,,,,,,
12140765,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/fff7de427716e1eb76eb9c0d7a636dc7-p_e.jpg,True,/homedetails/12515-Saint-Croix-Pl-Midlothian-VA-23114/12140765_zpid/,FOR_SALE,House for sale,"$374,900",$375K,"12515 Saint Croix Pl, Midlothian, VA 23114",3.0,3.0,1737.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,Listing provided by CVRMLS,CapCenter,453294000,37.465717,-77.63159,OPEN_HOUSE,Open: Sun. 12-2pm,12140765.0,12515 Saint Croix Pl,23114,Midlothian,VA,37.465717,-77.63159,374900.0,3.0,3.0,1737.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,392500.0,2350.0,True,False,False,FOR_SALE,374900.0,453294000.0,True,False,False,USD,USA,8363.52,sqft,False,337600.0,,,,True,Sun. 12-2pm,"[{'open_house_start': 1717354800000, 'open_house_end': 1717362000000}]",,,,,,,,,,,,,,,,,,,
