zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,info3String,brokerName,timeOnZillow,latLong.latitude,latLong.longitude,variableData.type,variableData.text,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.open_house_info.open_house_showing,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,hdpData.homeInfo.listing_sub_type.is_comingSoon,hdpData.homeInfo.listing_sub_type.is_bankOwned,hdpData.homeInfo.listing_sub_type.is_newHome,hdpData.homeInfo.newConstructionType,variableData.data.isRead,variableData.data.isFresh,info6String,hdpData.homeInfo.videoCount,availabilityDate,hdpData.homeInfo.isRentalWithBasePrice,hdpData.homeInfo.listing_sub_type.is_forAuction,hdpData.homeInfo.unit,minBeds,minBaths,minArea,buildingId,isBuilding,canSaveBuilding,unitCount,hdpData.homeInfo.listing_sub_type.is_foreclosure
65592958,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/fc0429f59e63f5a345a487a99b8a4d67-p_e.jpg,True,/homedetails/63-Broadstone-Dr-Fairview-Heights-IL-62208/65592958_zpid/,FOR_SALE,House for sale,"$310,000",$310K,"63 Broadstone Dr, Fairview Heights, IL 62208",4.0,3.0,2600.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,True,,False,False,https://photos.zillowstatic.com/fp/fb838799558bceb581b5706504130b46-zillow_web_48_23.jpg,Real Broker LLC,207373000,38.61202,-90.031235,SHOWCASE,Showcase,65592958.0,63 Broadstone Dr,62208,Fairview Heights,IL,38.61202,-90.031235,310000.0,3.0,4.0,2600.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,322800.0,2500.0,True,False,False,FOR_SALE,310000.0,207373000.0,True,False,False,USD,USA,59923.0,0.33999999999999997,acres,True,,,,,,,,,,,,,,,,,,,,,,,,,,
2578248,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/9b4e1641014ea8e616d61d3b1d4aa975-p_e.jpg,True,/homedetails/3303-Denton-Ln-Saint-Charles-MO-63301/2578248_zpid/,FOR_SALE,House for sale,"$250,000",$250K,"3303 Denton Ln, Saint Charles, MO 63301",4.0,2.0,1700.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/fb838799558bceb581b5706504130b46-zillow_web_48_23.jpg,"EXP Realty, LLC",345144000,38.795296,-90.54108,,,2578248.0,3303 Denton Ln,63301,Saint Charles,MO,38.795296,-90.54108,250000.0,2.0,4.0,1700.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,264100.0,1500.0,True,False,False,FOR_SALE,250000.0,345144000.0,True,False,False,USD,USA,195586.0,7230.96,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,
3020086,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/3242870ef360d07b4ce8c72f17ffd5e0-p_e.jpg,True,/homedetails/6314-Potomac-St-Saint-Louis-MO-63139/3020086_zpid/,FOR_SALE,House for sale,"$249,000",$249K,"6314 Potomac St, Saint Louis, MO 63139",3.0,2.0,1221.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/fb838799558bceb581b5706504130b46-zillow_web_48_23.jpg,Keller Williams Realty STL,441627000,38.598625,-90.29674,,,3020086.0,6314 Potomac St,63139,Saint Louis,MO,38.598625,-90.29674,249000.0,2.0,3.0,1221.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,269600.0,1550.0,True,False,False,FOR_SALE,249000.0,441627000.0,True,False,False,USD,USA,39450.0,4430.052,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,
3017680,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/9c830d2e024c6c744c7f56dc2ab4d5bd-p_e.jpg,True,/homedetails/3839-French-Ct-Saint-Louis-MO-63116/3017680_zpid/,FOR_SALE,House for sale,"$269,900",$270K,"3839 French Ct, Saint Louis, MO 63116",4.0,2.0,1785.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/fb838799558bceb581b5706504130b46-zillow_web_48_23.jpg,Garcia Properties             ,430889000,38.56102,-90.26897,OPEN_HOUSE,Open: Sun. 1-3pm,3017680.0,3839 French Ct,63116,Saint Louis,MO,38.56102,-90.26897,269900.0,2.0,4.0,1785.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,284300.0,1634.0,True,False,False,FOR_SALE,269900.0,430889000.0,True,False,False,USD,USA,31680.0,4159.98,sqft,False,True,Sun. 1-3pm,"[{'open_house_start': 1717358400000, 'open_house_end': 1717365600000}]",,,,,,,,,,,,,,,,,,,,,,,
2065910207,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/db52d46feb3a66110c95fc977debccce-p_e.jpg,True,/homedetails/542-E-Highway-U-Troy-MO-63379/2065910207_zpid/,FOR_SALE,House for sale,"$230,000",$230K,"542 E Highway U, Troy, MO 63379",3.0,2.0,1620.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/fb838799558bceb581b5706504130b46-zillow_web_48_23.jpg,"EXP Realty, LLC",207358000,38.920822,-90.968506,3D_HOME,3D Tour,2065910207.0,542 E Highway U,63379,Troy,MO,38.920822,-90.968506,230000.0,2.0,3.0,1620.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,238700.0,1749.0,True,False,False,FOR_SALE,230000.0,207358000.0,True,False,False,USD,USA,,1.84,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,
350778020,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/438bb550a388da1899b820f03051b46a-p_e.jpg,True,/homedetails/520-Rue-Street-Catherine-St-Florissant-MO-63031/350778020_zpid/,FOR_SALE,House for sale,"$149,900",$150K,"520 Rue Street Catherine St, Florissant, MO 63031",4.0,2.0,1673.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/fb838799558bceb581b5706504130b46-zillow_web_48_23.jpg,RE/MAX Platinum,849923000,38.79266,-90.32837,PRICE_REDUCTION,"$10,000 (May 29)",350778020.0,520 Rue Street Catherine St,63031,Florissant,MO,38.79266,-90.32837,149900.0,2.0,4.0,1673.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,149800.0,1794.0,True,False,False,FOR_SALE,149900.0,849923000.0,True,False,False,USD,USA,,0.3536,acres,False,,,,1716966000000.0,"$10,000 (May 29)",-10000.0,,,,,,,,,,,,,,,,,,,,
2793745,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/b73f9e7e931b2d459065490d1dd28506-p_e.jpg,True,/homedetails/2327-Eagles-Glen-Ct-Chesterfield-MO-63017/2793745_zpid/,FOR_SALE,House for sale,"$325,000",$325K,"2327 Eagles Glen Ct, Chesterfield, MO 63017",4.0,3.0,2339.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/fb838799558bceb581b5706504130b46-zillow_web_48_23.jpg,Coldwell Banker Realty - Gunda,380207000,38.6194,-90.581406,,,2793745.0,2327 Eagles Glen Ct,63017,Chesterfield,MO,38.6194,-90.581406,325000.0,3.0,4.0,2339.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,,,True,False,False,FOR_SALE,325000.0,380207000.0,True,False,False,USD,USA,411100.0,10018.8,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,
4949225,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/aa4a56f2afa760060611bcde26740391-p_e.jpg,True,/homedetails/942-Surrey-Dr-Edwardsville-IL-62025/4949225_zpid/,FOR_SALE,House for sale,"$240,000",$240K,"942 Surrey Dr, Edwardsville, IL 62025",3.0,2.0,2199.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/fb838799558bceb581b5706504130b46-zillow_web_48_23.jpg,Re/Max Alliance,232537000,38.79747,-89.96662,OPEN_HOUSE,Open: Sun. 12-2pm,4949225.0,942 Surrey Dr,62025,Edwardsville,IL,38.79747,-89.96662,240000.0,2.0,3.0,2199.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,249400.0,1700.0,True,False,False,FOR_SALE,240000.0,232537000.0,True,False,False,USD,USA,171120.0,0.2686,acres,False,True,Sun. 12-2pm,"[{'open_house_start': 1717354800000, 'open_house_end': 1717362000000}]",,,,,,,,,,,,,,,,,,,,,,,
2778548,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/cb8c814bda410d579907e6fb9aa42b65-p_e.jpg,True,/homedetails/15362-Thistlebriar-Ct-Chesterfield-MO-63017/2778548_zpid/,FOR_SALE,House for sale,"$325,000",$325K,"15362 Thistlebriar Ct, Chesterfield, MO 63017",4.0,2.0,1877.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/fb838799558bceb581b5706504130b46-zillow_web_48_23.jpg,Berkshire Hathaway Alliance,433029000,38.626286,-90.55837,,,2778548.0,15362 Thistlebriar Ct,63017,Chesterfield,MO,38.626286,-90.55837,325000.0,2.0,4.0,1877.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,347600.0,2600.0,True,False,False,FOR_SALE,325000.0,433029000.0,True,False,False,USD,USA,398500.0,0.2961,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,
2763084,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/b7e9fd3fde4681f7da8594f414d2b768-p_e.jpg,True,/homedetails/902-Brownwood-Dr-Saint-Louis-MO-63131/2763084_zpid/,FOR_SALE,House for sale,"$1,498,000",$1.50M,"902 Brownwood Dr, Saint Louis, MO 63131",5.0,6.0,6216.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/fb838799558bceb581b5706504130b46-zillow_web_48_23.jpg,"EXP Realty, LLC",165607000,38.64227,-90.4211,OPEN_HOUSE,Open: Sun. 12-3pm,2763084.0,902 Brownwood Dr,63131,Saint Louis,MO,38.64227,-90.4211,1498000.0,6.0,5.0,6216.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,1563000.0,7517.0,True,False,False,FOR_SALE,1498000.0,165607000.0,True,False,False,USD,USA,889700.0,1.75,acres,False,True,Sun. 12-3pm,"[{'open_house_start': 1717354800000, 'open_house_end': 1717365600000}]",,,,,,,,,,,,,,,,,,,,,,,
